año,distrito,MEDIDAS_CODE,MEDIDAS#es,municipio,OBS_VALUE,seccion,TERRITORIO_CODE
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Antigua,4,002,20220101_35003_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Antigua,"4,3",001,20220101_35003_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Antigua,"4,4",004,20220101_35003_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arafo,"3,6",001,20220101_38004_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arafo,"4,1",003,20220101_38004_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arafo,"4,3",002,20220101_38004_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arico,"3,5",002,20220101_38005_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arico,"3,5",003,20220101_38005_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arico,"3,7",004,20220101_38005_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arico,"3,9",005,20220101_38005_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arico,"4,1",001,20220101_38005_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arico,"4,7",006,20220101_38005_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"1,4",033,20220101_38006_D01_S033
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"2,3",011,20220101_38006_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"2,7",020,20220101_38006_D01_S020
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"2,9",026,20220101_38006_D01_S026
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,3",006,20220101_38006_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,4",001,20220101_38006_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,4",015,20220101_38006_D01_S015
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,4",019,20220101_38006_D01_S019
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,5",005,20220101_38006_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,5",017,20220101_38006_D01_S017
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,7",002,20220101_38006_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,7",028,20220101_38006_D01_S028
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"3,8",024,20220101_38006_D01_S024
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4,010,20220101_38006_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4,014,20220101_38006_D01_S014
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,1",003,20220101_38006_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,1",008,20220101_38006_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,1",022,20220101_38006_D01_S022
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,4",032,20220101_38006_D01_S032
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,4",034,20220101_38006_D01_S034
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,5",027,20220101_38006_D01_S027
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,7",009,20220101_38006_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,8",021,20220101_38006_D01_S021
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,8",023,20220101_38006_D01_S023
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"4,9",025,20220101_38006_D01_S025
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"5,2",016,20220101_38006_D01_S016
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"5,4",004,20220101_38006_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"5,4",030,20220101_38006_D01_S030
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"5,6",018,20220101_38006_D01_S018
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"5,8",031,20220101_38006_D01_S031
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"5,9",007,20220101_38006_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"5,9",012,20220101_38006_D01_S012
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"7,1",029,20220101_38006_D01_S029
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arona,"8,2",013,20220101_38006_D01_S013
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"2,9",009,20220101_35004_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"3,2",001,20220101_35004_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"3,2",011,20220101_35004_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"3,5",006,20220101_35004_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"3,5",007,20220101_35004_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"3,5",008,20220101_35004_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"3,6",003,20220101_35004_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"3,6",010,20220101_35004_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"4,2",004,20220101_35004_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"4,6",012,20220101_35004_D01_S012
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"4,9",005,20220101_35004_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arrecife,"5,8",002,20220101_35004_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Artenara,"5,9",001,20220101_35005_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arucas,"4,5",002,20220101_35006_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arucas,"4,9",004,20220101_35006_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arucas,"6,2",001,20220101_35006_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arucas,"6,6",003,20220101_35006_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Arucas,"8,6",005,20220101_35006_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Barlovento,"3,7",001,20220101_38007_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Barlovento,"3,8",002,20220101_38007_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Betancuria,5,001,20220101_35007_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Alta,"2,7",003,20220101_38008_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Alta,3,002,20220101_38008_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Alta,"3,8",001,20220101_38008_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Alta,"4,2",004,20220101_38008_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Baja,"2,8",004,20220101_38009_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Baja,3,001,20220101_38009_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Baja,"3,3",002,20220101_38009_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Breña Baja,"3,6",003,20220101_38009_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Buenavista del Norte,4,001,20220101_38010_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Buenavista del Norte,"4,1",003,20220101_38010_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Buenavista del Norte,"6,1",004,20220101_38010_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Buenavista del Norte,"7,5",002,20220101_38010_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,3,007,20220101_38011_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"3,2",012,20220101_38011_D01_S012
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"3,5",002,20220101_38011_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"3,6",005,20220101_38011_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"3,6",006,20220101_38011_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"3,6",009,20220101_38011_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"3,7",003,20220101_38011_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"3,9",001,20220101_38011_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"4,1",008,20220101_38011_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,5,004,20220101_38011_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"5,3",010,20220101_38011_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Candelaria,"5,3",011,20220101_38011_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Paso,"4,8",001,20220101_38027_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Pinar de El Hierro,"3,5",001,20220101_38901_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,2,012,20220101_38032_D01_S012
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"2,6",008,20220101_38032_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"2,7",004,20220101_38032_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"2,7",011,20220101_38032_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"2,7",013,20220101_38032_D01_S013
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"2,9",003,20220101_38032_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"2,9",006,20220101_38032_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"3,7",010,20220101_38032_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"3,8",002,20220101_38032_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"3,9",009,20220101_38032_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"4,2",001,20220101_38032_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"4,6",005,20220101_38032_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Rosario,"4,6",007,20220101_38032_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Sauzal,"2,9",001,20220101_38041_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Sauzal,"3,4",004,20220101_38041_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Sauzal,"4,6",003,20220101_38041_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Sauzal,"4,7",005,20220101_38041_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Sauzal,"5,3",006,20220101_38041_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Sauzal,"5,7",002,20220101_38041_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Tanque,"4,5",001,20220101_38044_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, El Tanque,"7,5",002,20220101_38044_D01_S002
