año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S015,01,015, Arona,30983
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S016,01,016, Arona,19673
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S017,01,017, Arona,27037
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S018,01,018, Arona,23489
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S019,01,019, Arona,26814
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S020,01,020, Arona,26004
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S021,01,021, Arona,24681
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S022,01,022, Arona,30127
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S023,01,023, Arona,23980
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S024,01,024, Arona,29058
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S025,01,025, Arona,31162
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S026,01,026, Arona,28944
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S027,01,027, Arona,27206
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S028,01,028, Arona,32548
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S029,01,029, Arona,21224
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S030,01,030, Arona,24645
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S031,01,031, Arona,22191
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S032,01,032, Arona,21342
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S033,01,033, Arona,29435
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38006_D01_S034,01,034, Arona,27040
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38007_D01_S001,01,001, Barlovento,29407
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38007_D01_S002,01,002, Barlovento,29737
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38008_D01_S001,01,001, Breña Alta,35337
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38008_D01_S002,01,002, Breña Alta,38309
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38008_D01_S003,01,003, Breña Alta,42878
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38008_D01_S004,01,004, Breña Alta,33437
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38009_D01_S001,01,001, Breña Baja,40700
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38009_D01_S002,01,002, Breña Baja,38688
